Timestamp,CPU_Percent,RAM_Active_MB,Temp_C
1780991265,33.3,571,59.9
1780991266,33.3,571,58.4
1780991267,0,571,59.4
1780991268,33.3,572,59.9
1780991270,27.3,573,60.3
1780991271,27.3,573,58.9
1780991272,25,573,59.9
1780991273,30,574,58.9
1780991275,25,574,59.9
1780991276,33.3,574,58.9
1780991277,60,575,59.9
1780991278,20,576,59.9
1780991280,25,576,60.3
1780991281,33.3,576,60.3
1780991282,20,576,58.9
1780991283,27.3,576,59.4
1780991284,30.8,576,58.9
1780991286,33.3,575,59.9
1780991287,33.3,576,59.9
1780991288,0,576,58.4
1780991289,33.3,576,59.9
1780991290,27.3,578,59.9
1780991292,27.3,578,59.4
1780991293,33.3,578,59.4
1780991294,27.3,578,58.9
1780991296,30,578,59.4
1780991297,25,577,59.9
1780991298,42.9,570,59.9
1780991299,33.3,570,59.9
1780991300,20,570,59.4
1780991302,33.3,572,59.4
1780991303,27.3,573,59.4
1780991304,18.2,573,59.9
1780991305,27.3,574,58.9
1780991307,25,575,58.9
1780991308,50,574,59.4
1780991309,33.3,585,59.4
1780991310,20,584,59.9
1780991312,20,584,59.9
1780991313,33.3,586,59.9
1780991314,25,586,59.9
1780991315,33.3,584,60.3
1780991316,27.3,584,58.9
1780991318,25,583,59.4
1780991319,20,576,59.9
1780991320,33.3,576,58.9
1780991321,0,576,58.9
1780991323,33.3,577,60.3
1780991324,25,577,59.9
1780991325,20,577,58.4
1780991326,27.3,577,58.4
1780991328,18.2,577,58.9
1780991329,20,575,59.9
1780991330,20,576,59.4
1780991331,25,576,60.8
1780991332,33.3,576,60.3
1780991334,27.3,576,58.9
1780991335,27.3,577,59.4
1780991336,25,577,59.9
1780991337,27.3,577,59.9
1780991339,50,575,58.9
1780991340,0,576,58.9
1780991341,33.3,577,60.3
1780991342,25,577,59.9
1780991343,25,577,60.3
1780991345,20,577,59.4
1780991346,30.8,577,59.4
1780991347,27.3,577,58.9
1780991348,33.3,580,59.9
1780991350,42.9,589,59.9
1780991351,50,594,60.8
1780991352,57.1,586,60.8
1780991353,50,589,62.3
1780991355,50,584,62.3
1780991356,40,585,61.8
1780991357,66.7,583,61.3
1780991358,40,587,62.8
1780991359,75,687,63.7
1780991361,75,702,63.3
1780991362,50,699,65.2
1780991363,66.7,715,65.7
1780991364,50,711,65.2
1780991366,50,711,65.2
1780991367,60,712,64.7
1780991368,40,664,64.2
1780991369,83.3,647,64.7
1780991370,20,651,64.2
1780991372,40,651,62.3
1780991373,66.7,651,63.3
1780991374,50,651,62.3
1780991378,20,642,62.3
1780991379,20,637,61.8
1780991380,20,666,63.7
1780991381,100,674,62.8
1780991383,42.9,676,62.8
1780991384,81.8,676,62.3
1780991385,25,671,63.3
1780991386,0,669,63.3
1780991387,33.3,668,63.3
1780991389,20,666,61.3
1780991390,50,659,62.3
1780991391,25,658,62.8
1780991392,33.3,658,61.3
1780991394,30.8,657,61.8
1780991395,20,657,62.8
1780991396,20,654,62.3
1780991397,20,654,61.8
1780991398,33.3,654,61.8
1780991400,30.8,656,61.8
1780991401,20,656,62.3
1780991402,42.9,655,61.3
1780991403,42.9,656,62.8
1780991405,20,658,61.3
1780991406,57.1,666,63.3
1780991407,28.6,668,62.8
1780991408,33.3,670,63.3
1780991409,33.3,668,62.3
1780991411,33.3,659,62.3
1780991412,28.6,684,62.3
1780991413,33.3,684,62.3
1780991414,16.7,683,63.3
1780991416,0,682,62.8
1780991417,33.3,677,63.3
1780991418,71.4,674,63.3
1780991419,57.1,681,64.7
1780991420,72.7,695,64.2
1780991422,50,683,65.2
1780991423,20,680,64.2
1780991424,66.7,685,65.7
1780991425,57.1,687,67.2
