Timestamp,CPU_Percent,RAM_Active_MB,Temp_C
1780992518,50,517,65.2
1780992519,33.3,519,65.7
1780992521,25,518,64.2
1780992522,28.6,518,65.2
1780992523,33.3,517,65.7
1780992524,25,516,64.2
1780992526,25,515,64.7
1780992527,20,515,64.7
1780992528,33.3,515,64.7
1780992529,0,515,65.2
1780992530,23.1,516,65.2
1780992532,20,516,63.7
1780992533,28.6,516,64.2
1780992534,23.1,516,64.7
1780992535,50,517,64.7
1780992537,20,518,64.7
1780992538,20,518,64.2
1780992539,0,525,64.2
1780992540,20,525,64.7
1780992542,23.1,524,63.7
1780992543,28.6,523,64.2
1780992544,28.6,523,63.7
1780992545,23.1,522,63.7
1780992547,0,521,65.2
1780992548,33.3,519,65.2
1780992549,40,524,65.2
1780992550,20,522,64.7
1780992551,20,524,65.2
1780992553,50,526,64.2
1780992554,40,528,65.2
1780992555,33.3,525,65.7
1780992556,40,534,65.2
1780992557,25,526,66.7
1780992559,0,529,66.7
1780992560,60,529,66.2
1780992561,40,532,67.6
1780992562,33.3,532,68.1
1780992564,55.6,653,69.6
1780992565,55.6,627,70.1
1780992566,81.8,638,70.1
1780992567,60,670,69.6
1780992569,50,662,70.1
1780992570,40,662,69.6
1780992571,50,664,71.1
1780992572,66.7,593,70.1
1780992573,40,702,70.6
1780992575,20,702,69.6
1780992576,20,699,68.1
1780992577,33.3,700,68.6
1780992581,33.3,695,67.2
1780992582,46.7,685,68.6
1780992583,50,677,68.6
1780992584,83.3,716,70.6
1780992585,87.5,744,70.6
1780992587,71.4,779,71.1
1780992588,0,782,69.1
1780992589,50,790,69.6
1780992590,20,791,70.6
1780992592,16.7,791,70.1
1780992593,75,797,72.0
1780992594,85.7,792,71.5
1780992595,75,793,72.0
1780992597,100,799,72.0
1780992598,20,839,72.0
1780992599,40,841,72.0
1780992600,40,844,71.1
1780992601,20,848,70.1
1780992603,57.1,889,71.5
1780992604,33.3,891,70.6
1780992605,33.3,891,70.6
1780992606,20,892,70.6
1780992608,20,888,70.1
1780992609,20,901,70.6
1780992610,33.3,898,69.1
1780992611,33.3,897,70.1
1780992612,42.9,914,69.6
1780992614,100,938,72.0
1780992615,33.3,930,72.5
1780992616,66.7,925,72.5
1780992617,71.4,923,71.5
1780992618,80,998,71.5
1780992620,75,990,72.0
1780992621,83.3,999,74.0
1780992622,85.7,998,74.0
1780992623,100,1045,75.4
1780992625,100,1114,76.4
1780992626,100,1127,76.9
1780992627,100,1120,78.8
1780992630,100,1192,79.8
1780992631,100,1192,78.8
1780992632,66.7,1191,76.9
1780992634,33.3,1161,76.4
1780992635,83.3,1140,76.4
1780992636,100,1084,76.9
1780992637,100,1083,75.4
1780992639,88.9,1102,77.4
1780992640,87.5,1129,76.9
1780992642,100,1130,75.0
1780992644,100,1118,77.9
1780992645,57.1,1109,76.9
1780992647,100,1113,75.4
1780992649,77.8,1123,77.9
1780992650,50,1111,78.8
1780992651,71.4,1099,76.9
1780992652,80,1091,76.9
1780992653,85.7,1091,77.9
1780992655,85.7,1096,76.9
1780992656,40,1099,75.9
1780992657,80,1095,76.4
1780992659,50,1094,75.9
1780992660,66.7,1096,76.4
1780992661,100,1098,75.9
1780992662,57.1,1097,75.4
1780992663,40,1090,75.9
1780992665,83.3,1089,77.9
1780992666,50,1106,77.4
1780992667,50,1125,77.9
1780992668,33.3,1125,75.9
1780992670,20,1125,76.4
1780992671,66.7,1127,76.4
1780992672,33.3,1126,75.4
1780992673,33.3,1122,74.0
1780992674,23.1,1119,74.0
1780992676,20,1116,73.5
1780992677,20,1113,73.5
1780992678,71.4,1110,74.5
1780992679,20,1108,74.0
1780992681,28.6,1105,73.0
1780992682,30,1104,73.0
1780992683,27.3,1104,72.0
1780992684,37.5,1104,71.5
1780992686,33.3,1104,73.0
1780992687,16.7,1103,73.0
1780992688,42.9,1103,72.0
1780992689,20,1103,73.0
1780992690,16.7,1099,72.5
1780992692,20,1098,72.0
1780992693,42.9,1097,72.0
1780992694,33.3,1097,73.0
1780992695,40,1097,72.5
1780992696,28.6,1097,72.5
1780992698,0,1096,72.5
1780992699,0,1096,73.5
1780992700,50,1094,72.0
1780992701,16.7,1094,71.1
1780992703,30.8,1096,72.0
1780992704,33.3,1096,71.1
1780992705,25,1095,71.5
1780992706,56.2,1095,70.6
1780992708,33.3,1095,70.6
1780992709,28.6,1094,70.6
1780992710,33.3,1093,70.1
1780992711,16.7,1099,71.1
1780992712,28.6,1099,71.1
1780992714,30.8,1099,71.1
1780992715,33.3,1100,70.6
1780992716,16.7,1100,72.0
1780992717,28.6,1098,70.1
1780992719,33.3,1099,71.5
1780992720,22.2,1097,71.1
1780992721,42.9,1103,70.6
1780992722,50,1102,71.1
1780992723,33.3,1103,71.1
1780992725,42.9,1102,70.6
1780992726,26.7,1101,71.1
1780992727,33.3,1101,71.1
1780992728,42.9,1100,71.1
1780992730,16.7,1100,71.1
1780992731,33.3,1107,69.6
1780992732,35.7,1100,71.1
1780992733,35.7,1100,71.1
1780992735,16.7,1100,71.1
1780992736,16.7,1099,71.1
1780992737,28.6,1098,70.1
1780992738,20,1098,71.1
1780992739,37.5,1099,69.1
1780992741,20,1098,71.1
1780992742,28.6,1095,70.6
1780992743,75,1096,71.1
1780992744,16.7,1094,71.1
1780992745,25,1093,70.1
1780992747,33.3,1092,70.6
1780992748,28.6,1093,70.1
1780992749,33.3,1092,71.5
1780992750,33.3,1092,69.1
1780992752,33.3,1091,70.6
1780992753,33.3,1093,71.1
1780992754,33.3,1093,69.6
1780992755,20,1092,70.6
1780992756,16.7,1092,71.1
1780992758,20,1091,70.6
1780992759,16.7,1090,71.1
1780992760,33.3,1089,71.1
1780992761,0,1091,70.1
1780992762,20,1094,71.5
1780992764,20,1095,70.6
1780992765,33.3,1095,70.6
1780992766,20,1094,70.6
1780992767,35.7,1094,70.1
1780992769,35.3,1092,70.6
1780992770,33.3,1091,70.6
1780992771,20,1092,70.1
1780992772,33.3,1089,71.1
1780992773,20,1090,71.1
1780992775,22.2,1094,70.1
1780992776,28.6,1093,70.6
1780992777,33.3,1093,70.1
1780992778,37.5,1093,71.5
1780992780,20,1093,70.6
1780992781,57.1,1098,71.1
1780992782,33.3,1106,71.1
1780992783,28.6,1093,70.1
1780992784,33.3,1095,71.1
1780992786,33.3,1095,70.1
1780992787,25,1095,70.1
1780992788,33.3,1095,69.1
1780992789,26.7,1095,70.1
1780992791,30.8,1095,69.1
1780992792,21.4,1094,69.6
1780992793,57.1,1089,70.6
1780992794,42.9,1092,70.1
1780992796,55.6,1093,70.6
1780992797,0,1093,71.5
1780992798,71.4,1092,71.1
1780992799,20,1092,70.1
1780992800,20,1093,69.6
1780992802,33.3,1094,71.5
1780992803,28.6,1094,71.1
1780992804,25,1095,71.5
1780992805,20,1095,71.5
1780992807,16.7,1095,70.1
1780992808,16.7,1095,70.1
1780992809,33.3,1094,70.6
1780992810,27.3,1095,69.6
1780992811,25,1094,69.6
1780992813,33.3,1104,70.1
1780992814,20,1092,69.6
1780992815,33.3,1093,70.1
1780992816,0,1094,71.1
1780992818,43.8,1092,69.6
1780992819,23.1,1094,69.6
1780992820,20,1094,69.6
1780992821,30.8,1094,69.6
1780992823,28.6,1095,70.1
1780992824,20,1094,71.1
1780992825,28.6,1095,70.1
1780992826,42.9,1094,71.1
1780992827,27.3,1094,70.1
1780992829,30.8,1094,69.1
1780992830,33.3,1093,68.6
1780992831,20,1093,68.6
1780992832,20,1092,69.1
1780992834,42.9,1092,70.1
1780992835,16.7,1094,70.1
1780992836,36.4,1096,70.6
1780992837,33.3,1095,70.6
1780992839,33.3,1094,70.6
1780992840,20,1094,68.6
1780992841,33.3,1093,70.6
1780992842,33.3,1097,70.6
1780992843,20,1098,70.1
1780992845,33.3,1094,70.6
1780992846,16.7,1100,70.6
1780992847,25,1100,71.1
1780992848,81.8,613,72.0
1780992849,42.9,533,73.0
1780992851,60,545,72.5
1780992852,40,539,73.0
1780992853,20,536,72.0
1780992854,33.3,523,70.6
1780992856,20,523,71.5
1780992857,33.3,523,71.1
1780992858,25,523,70.6
1780992859,28.6,522,70.1
1780992860,33.3,523,69.6
1780992862,20,522,69.6
1780992863,20,521,70.1
1780992864,20,516,71.1
1780992865,25,516,69.6
1780992867,26.7,517,69.1
1780992868,20,517,71.1
1780992869,33.3,517,69.1
1780992870,20,517,69.6
1780992871,33.3,517,68.6
1780992873,28.6,517,69.6
1780992874,20,517,69.1
1780992875,33.3,514,69.1
1780992876,20,516,69.1
1780992877,33.3,517,69.1
1780992879,28.6,517,69.6
1780992880,27.3,517,68.6
1780992881,21.4,518,68.1
1780992883,21.4,517,68.1
