Timestamp,CPU_Percent,RAM_Active_MB,Temp_C
1780991873,37.5,478,57.9
1780991874,28.6,479,58.4
1780991875,20,479,58.9
1780991876,40,479,58.9
1780991877,20,479,58.4
1780991879,33.3,478,58.9
1780991880,20,479,59.4
1780991881,27.3,479,58.4
1780991882,28.6,479,58.4
1780991884,23.1,478,57.4
1780991885,25,480,58.9
1780991886,20,480,58.4
1780991887,20,480,59.9
1780991889,20,480,59.9
1780991890,33.3,480,59.9
1780991891,27.3,479,59.9
1780991892,28.6,479,59.4
1780991893,20,479,59.4
1780991895,28.6,479,58.9
1780991896,20,478,59.4
1780991897,20,478,58.4
1780991898,0,478,58.9
1780991900,33.3,478,59.4
1780991901,27.3,478,58.9
1780991902,23.1,478,59.9
1780991903,26.7,479,57.9
1780991905,28.6,479,58.4
1780991906,20,476,57.9
1780991907,20,477,58.4
1780991908,33.3,477,58.9
1780991909,20,478,59.9
1780991911,20,479,58.4
1780991912,33.3,479,58.9
1780991913,33.3,478,59.4
1780991914,20,478,59.4
1780991915,25,477,58.9
1780991917,0,476,58.9
1780991918,33.3,476,59.4
1780991919,33.3,478,59.4
1780991920,33.3,478,59.9
1780991922,28.6,477,59.4
1780991923,16.7,478,59.4
1780991924,23.1,477,58.9
1780991925,28.6,477,59.4
1780991927,20,478,58.9
1780991928,25,478,59.4
1780991929,33.3,479,59.4
1780991930,20,478,58.9
1780991931,20,478,58.9
1780991933,23.1,477,58.4
1780991934,20,478,58.4
1780991935,0,477,58.9
1780991936,0,476,60.3
1780991938,33.3,477,59.4
1780991939,25,479,58.4
1780991940,28.6,479,59.4
1780991941,25,479,58.4
1780991942,20,479,58.9
1780991944,50,481,59.4
1780991945,20,485,59.4
1780991946,20,486,60.3
1780991947,0,485,58.9
1780991948,50,490,60.8
1780991950,25,490,59.9
1780991951,50,488,60.8
1780991952,25,486,59.9
1780991953,20,486,59.9
1780991954,20,489,60.8
1780991956,40,488,59.9
1780991957,55.6,491,60.3
1780991958,25,491,60.8
1780991959,20,486,60.3
1780991960,25,488,61.3
1780991962,20,486,60.8
1780991963,30,486,60.3
1780991964,30,488,60.3
1780991965,33.3,487,60.3
1780991967,33.3,486,60.8
1780991968,50,489,60.3
1780991969,20,488,61.3
1780991970,0,488,60.8
1780991972,50,489,61.3
1780991973,40,488,62.8
1780991974,62.5,499,63.7
1780991975,33.3,513,62.3
1780991976,50,644,63.7
1780991978,58.3,639,65.7
1780991979,55.6,638,64.2
1780991980,54.5,646,65.7
1780991981,40,645,65.7
1780991983,40,645,65.2
1780991984,50,646,65.2
1780991985,33.3,560,64.2
1780991986,20,560,63.7
1780991987,33.3,560,64.2
1780991989,0,575,62.8
1780991990,40,572,63.3
1780991991,50,567,62.8
1780991992,20,561,62.8
1780991994,76.9,555,61.3
1780991996,26.7,548,62.8
1780991997,20,557,61.8
1780991999,20,581,61.8
1780992000,20,581,62.3
1780992001,20,581,62.8
1780992002,27.3,580,61.8
1780992004,27.3,579,62.8
1780992005,33.3,583,61.8
1780992006,71.4,581,61.8
1780992007,20,579,63.3
1780992008,83.3,599,63.3
1780992010,90.9,627,64.7
1780992011,20,633,63.7
1780992012,20,631,64.2
1780992013,50,609,63.3
1780992015,40,622,64.2
1780992016,50,660,65.2
1780992017,85.7,673,66.2
1780992018,57.1,671,65.7
1780992019,57.1,683,66.2
1780992021,60,676,66.2
1780992022,80,665,66.2
1780992023,83.3,616,65.7
1780992024,85.7,613,67.2
1780992026,80,619,67.2
1780992027,50,626,67.2
1780992028,33.3,627,66.7
1780992029,50,620,66.7
1780992030,21.4,618,64.7
1780992032,30.8,615,64.2
1780992033,28.6,616,64.7
1780992034,20,615,64.7
1780992035,20,614,63.7
1780992037,20,615,64.7
1780992038,20,615,64.2
1780992039,28.6,608,63.3
1780992040,20,607,64.7
1780992041,33.3,608,63.3
1780992043,33.3,608,63.3
1780992044,20,608,62.8
1780992045,55.6,608,63.3
1780992046,20,608,63.7
1780992047,20,608,63.3
1780992049,20,607,63.3
1780992050,20,609,63.7
1780992051,21.4,609,63.7
1780992052,20,609,62.3
1780992054,20,608,64.2
1780992055,20,608,63.3
1780992056,33.3,607,62.8
1780992057,25,606,62.8
1780992058,28.6,606,62.3
1780992060,71.4,604,64.2
1780992061,20,605,63.7
1780992062,33.3,604,63.3
1780992063,33.3,604,63.7
1780992064,28.6,603,62.8
1780992066,26.7,603,62.8
1780992067,20,602,62.3
1780992068,20,603,63.3
1780992069,66.7,607,64.2
1780992071,33.3,609,63.3
1780992072,30.8,610,63.3
1780992073,21.4,611,63.3
1780992074,33.3,611,62.3
1780992076,33.3,612,61.8
1780992077,33.3,612,63.3
1780992078,0,610,62.8
1780992079,35.7,610,63.3
1780992080,20,607,62.8
1780992082,20,607,62.8
1780992083,33.3,606,63.3
1780992084,20,607,61.8
1780992085,28.6,606,63.7
1780992087,20,606,61.8
1780992088,20,606,62.8
1780992089,33.3,605,64.2
1780992090,20,605,62.8
1780992091,25,610,61.8
