Timestamp,CPU_Percent,RAM_Active_MB,Temp_C
1780992518,0.9,2263,55.0
1780992519,0.9,2256,54.0
1780992521,1.8,2258,54.0
1780992522,0.9,2259,54.0
1780992523,1.4,2259,54.0
1780992525,0.9,2262,59.0
1780992526,0.9,2262,53.0
1780992527,0.5,2263,54.0
1780992528,1.4,2264,53.0
1780992530,0.9,2259,53.0
1780992531,1.4,2261,54.0
1780992532,0.9,2261,53.0
1780992534,0.5,2262,54.0
1780992535,4.9,2263,56.0
1780992536,0,2257,55.0
1780992538,1.4,2259,56.0
1780992539,0.9,2262,55.0
1780992540,3.6,2263,55.0
1780992542,0.5,2264,54.0
1780992543,1.8,2265,60.0
1780992544,1.4,2266,54.0
1780992546,0.9,2268,55.0
1780992547,1.4,2268,55.0
1780992548,2.2,2290,55.0
1780992550,0.9,2287,56.0
1780992551,1.4,2289,54.0
1780992552,1.8,2291,55.0
1780992554,1.3,2292,54.0
1780992555,1.4,2295,55.0
1780992556,1.4,2292,54.0
1780992558,1.4,2294,55.0
1780992559,1.4,2295,55.0
1780992560,1.3,2296,56.0
1780992562,0.9,2297,55.0
1780992563,1.4,2298,54.0
1780992564,4.5,2298,54.0
1780992566,1.3,2297,55.0
1780992567,1.4,2297,55.0
1780992568,0.9,2298,56.0
1780992570,1.8,2295,55.0
1780992571,0.5,2297,54.0
1780992572,1.3,2297,53.0
1780992574,0.5,2298,63.0
1780992575,1.8,2298,54.0
1780992576,1.3,2293,54.0
1780992578,4.1,2293,59.0
1780992579,0.9,2291,56.0
1780992580,1.4,2292,52.0
1780992582,0.9,2294,55.0
1780992583,1.3,2294,54.0
1780992584,1.4,2295,61.0
1780992586,1.8,2296,54.0
1780992587,0.5,2297,56.0
1780992588,1.4,2297,55.0
1780992590,0.5,2290,55.0
1780992591,1.3,2293,55.0
1780992592,1.4,2294,62.0
1780992594,1.4,2293,54.0
1780992595,0,2295,56.0
1780992596,0.9,2291,55.0
1780992597,0.9,2291,63.0
1780992599,3.2,2286,65.0
1780992600,0.5,2288,54.0
1780992601,1.3,2291,54.0
1780992603,0.5,2291,55.0
1780992604,2.7,2291,58.0
1780992605,4.9,2290,55.0
1780992607,1.4,2290,54.0
1780992608,0.5,2292,56.0
1780992609,1.4,2294,55.0
1780992611,1.8,2295,54.0
1780992612,0.9,2296,67.0
1780992613,1.4,2297,63.0
1780992615,1.3,2299,64.0
1780992616,0.9,2292,55.0
1780992617,8.1,2293,55.0
1780992619,0.9,2293,56.0
1780992620,0.5,2254,54.0
1780992621,8.6,2255,56.0
